NU_CNPB_PLANO_DA;ID;ORIGEM;ID_PROVISAO_CONSTITUIR;SM_ATIVO_PROVISAO_CONST;SM_ATIVO_DEFICIT;VL_ATIVO_DEFICIT_PATRO;VL_ATIVO_DEFICIT_PART;VL_ATIVO_DEFICIT_ASSIST;SM_ATIVO_SER_PASSADO;VL_ATIVO_SER_PAS_PATRO;VL_ATIVO_SER_PAS_PART;VL_ATIVO_SER_PAS_ASSIST;SM_ATIVO_OUT_FINALIDADE;VL_ATIVO_OUT_FIN_PATRO;VL_ATIVO_OUT_FIN_PART;VL_ATIVO_OUT_FIN_ASSIST;QT_MESES_ATIVO_D_PATRO;QT_MESES_ATIVO_D_PART;QT_MESES_ATIVO_D_ASSIST;QT_MESES_ATIVO_S_PATRO;QT_MESES_ATIVO_S_PART;QT_MESES_ATIVO_S_ASSIST;QT_MESES_ATIVO_O_PATRO;QT_MESES_ATIVO_O_PART;QT_MESES_ATIVO_O_ASSIST;SM_PASSIVO_PROVISAO_CONST;SM_PASSIVO_DEFICIT;VL_PASSIVO_DEFICIT_PATRO;VL_PASSIVO_DEFICIT_PART;VL_PASSIVO_DEFICIT_ASSIST;SM_PASSIVO_SER_PASSADO;VL_PASSIVO_SER_PAS_PATRO;VL_PASSIVO_SER_PAS_PART;VL_PASSIVO_SER_PAS_ASSIST;SM_PASSIVO_OUT_FINALIDADE;VL_PASSIVO_OUT_FIN_PATRO;VL_PASSIVO_OUT_FIN_PART;VL_PASSIVO_OUT_FIN_ASSIST;QT_MESES_PASSIVO_D_PATRO;QT_MESES_PASSIVO_D_PART;QT_MESES_PASSIVO_D_ASSIST;QT_MESES_PASSIVO_S_PATRO;QT_MESES_PASSIVO_S_PART;QT_MESES_PASSIVO_S_ASSIST;QT_MESES_PASSIVO_O_PATRO;QT_MESES_PASSIVO_O_PART;QT_MESES_PASSIVO_O_ASSIST;ID_DEMONSTRACAO_ATUARIAL;ID_GRUPO_CUSTEIO_DA
1979000174;3296254;1;42749;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;160605991.86;103421259.24;51710629.62;51710629.62;0.00;0.00;0.00;0.00;0.00;57184732.62;0.00;0.00;57184732.62;60;60;0;0;0;0;0;0;130;3296254;NULL
2004001992;3307787;1;42757;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;3307787;NULL
2005000183;3307795;1;42759;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;3307795;NULL
1982000856;3308201;1;42765;2114536.36;2114536.36;2114536.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;3308201;NULL
1982000147;3309068;1;42774;21311619.80;21311619.80;21311619.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;111;0;0;0;0;0;0;0;0;4494662.87;4494662.87;0.00;0.00;4494662.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;111;0;0;0;0;0;0;3309068;NULL
1979001911;3309070;1;42776;137280381.62;137280381.62;137280381.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;183;0;0;0;0;0;0;0;0;94762634.60;94762634.60;0.00;146486.49;94616148.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;183;183;0;0;0;0;0;0;3309070;NULL
1985000792;3309407;1;42778;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;176428456.17;175693177.69;90555907.77;1135150.07;84002119.85;735278.48;0.00;0.00;735278.48;0.00;0.00;0.00;0.00;268;13;268;0;0;219;0;0;0;3309407;NULL
2010004711;3309713;1;42783;1800429.34;1800429.34;1800429.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;144;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;3309713;NULL
1979000492;3310441;1;42787;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;153452533.00;144159624.00;102808874.00;30926884.00;10423866.00;9292909.00;0.00;9292909.00;0.00;0.00;0.00;0.00;0.00;77;77;175;0;77;0;0;0;0;3310441;NULL
2007002574;3311463;1;42800;3012378.01;3012378.01;3012378.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;3311463;NULL
