NU_CNPB_PLANO_DA;ID_PROVISAO_MATEMATICA;TX_PERC_CUSTO_ANO;VL_CUSTO_ANO;SM_PROVISAO_MATEMATICA;SM_BENEFICIOS_CONCEDIDOS;SM_BEN_CON_CONTRIBUI_DEF;VL_BC_CD_SALD_CONT_ASSIST;SM_BEN_CON_BENEFICIO_DEF;VL_BC_BD_PROG_VABF_ASSIST;VL_BC_BD_NPRO_VABF_ASSIST;SM_BENEFICIOS_A_CONCEDER;SM_BEN_A_CON_CONTRIB_DEF;VL_AC_CD_SALD_CONT_PATRO;VL_AC_CD_SALD_CONT_PART;SM_BEN_A_CON_BEN_DEF_PROG;VL_AC_BD_PROG_VABF;VL_AC_BD_PROG_VACF_PATRO;VL_AC_BD_PROG_VACF_PART;SM_BEN_A_CON_BEN_DEF_NPRO;VL_AC_BD_NPRO_VABF;VL_AC_BD_NPRO_VACF_PATRO;VL_AC_BD_NPRO_VACF_PART;VL_AC_BD_CAPT_COBERTURA;VL_AC_BD_REPT_SIMPLES;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL
1980002029;161777;;392140.06;5025066075;5015258997;0;0;5015258997;3959617751;1055641246;9807077.61;0;0;0;9765329.27;10058579.38;146625.05;146625.06;41748.34;43002.03;626.85;626.84;0;0;;2683105
1985000938;161798;;0;732112589.7;243522014.1;241944640.8;241944640.8;1577373.33;1577373.33;0;488590575.6;488590575.6;268510771.8;220079803.8;0;0;0;0;0;0;0;0;0;0;;2683115
2000007783;161804;;1598541.25;49441432.1;35979335;0;0;35979335;20725365;15253970;13462097.1;11508646.1;5590286.59;5918359.51;0;0;0;0;1953451;4329905;1188227;1188227;0;0;;2683117
1982002018;161818;;2160816.38;1435523120;1284050666;4222566.24;4222566.24;1279828099;1153046740;126781359.8;151472454.6;34198125.32;11312538.98;22885586.34;115043447;130137803.3;7253560.29;7840796.06;2230882.28;2665884.48;210598.41;224403.79;0;0;;2683123
1985001683;161828;;0;1599608307;700419939.6;75187318.59;75187318.59;625232621;610529801;14702820;899188367.4;899188367.4;232257704;666930663.4;0;0;0;0;0;0;0;0;0;0;;2683125
1994001119;161836;;7418237.6;360099682.8;153313844.2;77819273.24;77819273.24;75494571;67650022;7844549;206785838.5;204381424.1;103701005.5;100680418.6;811277;879785;68508;0;1593137.44;1775265;182127.56;0;0;0;;2683127
1998004465;161849;;144020191;3255032917;700769272.9;0;0;700769272.9;483019191.8;217750081.1;2554263644;2554263644;1213569352;1340694293;0;0;0;0;0;0;0;0;0;0;;2683129
1977000274;161868;;87061981.38;84924971670;73008311228;0;0;73008311228;66609153388;6399157840;11916660442;0;0;0;11908216196;11925389075;8586439.44;8586439.44;8444246.35;8549719.47;52736.56;52736.56;0;0;;2683131
1979004765;161886;;15055958;2193684833;2173493546;0;0;2173493546;1744529436;428964110;20191286.8;0;0;0;19811115.45;21127940.21;658412.38;658412.38;380171.35;391976.63;5902.64;5902.64;0;0;;2683135
1985001365;161898;;0;53969719;53969719;0;0;53969719;30542981;23426738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2683139
2010004019;161916;;1653830.61;37349272.3;441205.03;441205.03;441205.03;0;0;0;36908067.27;32300856.53;16009445.45;16291411.08;4607210.74;6344649;868719.13;868719.13;0;0;0;0;0;0;;2683141
1988001129;161933;;0;3291187789;3291187789;0;0;3291187789;2365547392;925640396.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2683143
1982002247;161972;;61009061.1;15206493326;14782928982;13725307.11;13725307.11;14769203675;12206433249;2562770426;423564343.9;149212883;23372699.44;125840183.6;269968745.9;269968745.9;0;0;4382715;4382715;0;0;0;0;;2683145
1998006638;161980;;86724094.9;5329628496;3531804664;998645972.7;998645972.7;2533158691;2309660024;223498667.2;1797823832;1797823832;732425918;1065397914;0;0;0;0;0;0;0;0;0;0;;2683147
2007001519;162000;;2154163474;37050382473;6998018430;596269260.6;596269260.6;6401749169;5394446106;1007303063;30052364043;29964251408;15526924436;14437326973;0;0;0;0;88112634.94;993619994.3;452753679.7;452753679.7;0;0;;2683149
2000002511;162009;;59778145.52;600860742.6;17048398.68;0;0;17048398.68;9560232.56;7488166.12;583812343.9;577045893.4;266243643.4;310802250;0;0;0;0;6766450.51;16717702.16;9951251.65;0;0;0;;2683151
1990001092;162028;;45667058.43;2378333621;1048783987;980847884.7;980847884.7;67936102;46505181;21430921;1329549634;1317719945;612750429.4;704969515.7;11829689;11829689;0;0;0;0;0;0;0;0;;2683155
1985000156;162041;;0;862799543.7;670523778;0;0;670523778;639247206;31276572;192275765.7;160056.71;0;160056.71;191420191;191420191;0;0;695518;695518;0;0;0;0;;2683157
2005001783;162049;;20068771.47;817059787.3;412078974.9;405388509.9;405388509.9;6690465;0;6690465;404980812.4;382102813.8;166410970.8;215691843;0;0;0;0;22877998.56;23442631;317941.12;246691.32;0;0;;2683161
2007000229;162075;;12695.41;777093869.5;744315818;0;0;744315818;626225189;118090629;32778051.54;4746864.54;0;4746864.54;27245324;27245324;0;0;785863;785863;0;0;0;0;;2683163
2020000938;162087;;1422373.92;16939188.48;861687;861687;861687;0;0;0;16077501.48;16021026.48;7667815.87;8353210.61;29785;29785;0;0;26690;26690;0;0;0;0;;2683165
1989001629;162096;;0;10520027;10520027;0;0;10520027;6397890;4122137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2683198
2009003683;162122;;26840199;658125391.1;270279954;0;0;270279954;250352444;19927510;387845437.1;1770516.1;1460724.94;309791.16;357011630;739007785;381996155;0;29063291.01;58922418;29859126.99;0;0;0;;2683200
2007002965;162195;;;1480325.87;374901.5;374901.5;374901.5;0;;;1105424.37;1105424.37;0;1105424.37;0;;;;0;;;;;;;2683425
2005002038;162197;;;0;0;0;0;0;;;0;0;0;0;0;;;;0;;;;;;;2683435
2022000511;162241;;;5835677.21;0;0;0;0;;;5835677.21;5835677.21;487814.66;5347862.55;0;;;;0;;;;;;;2683437
2022002547;162243;;;362669.97;0;0;0;0;;;362669.97;362669.97;303151.02;59518.95;0;;;;0;;;;;;;2683441
