NU_CNPB_PLANO_DA;ID;ORIGEM;ID_FONTE_RECURSO;SM_TOTAL_RECURSOS_PART;SM_CONTRIB_PREV_PART;VL_CONTRIB_NORMAIS_PART;SM_CONTRIB_EXTRA_PART;VL_DEFICIT_EQUACIO_PART;VL_SERVICO_PASSADO_PART;VL_OUT_FINALIDADES_PART;SM_UTILIZA_FUNDOS_PART;VL_EXIGENCIA_REGUL_PART;VL_DESTINA_RES_ESP_PART;SM_TOTAL_RECURSOS_ASSIST;SM_CONTRIB_PREV_ASSIST;SM_CONTRIB_EXTRA_ASSIST;VL_DEFICIT_EQUACIO_ASSIST;VL_SERVICO_PASSADO_ASSIST;VL_OUT_FINALIDADES_ASSIST;SM_UTILIZA_FUNDOS_ASSIST;VL_EXIGENCIA_REGUL_ASSIST;VL_DESTINA_RES_ESP_ASSIST;SM_TOTAL_RECURSOS_PATRO;SM_CONTRIB_PREV_PATRO;VL_CONTRIB_NORMAIS_PATRO;SM_CONTRIB_EXTRA_PATRO;VL_DEFICIT_EQUACIO_PATRO;VL_SERVICO_PASSADO_PATRO;VL_OUT_FINALIDADES_PATRO;SM_UTILIZA_FUNDOS_PATRO;VL_EXIGENCIA_REGUL_PATRO;VL_DESTINA_RES_ESP_PATRO;SM_TOTAL_RECURSOS_GRUPO;SM_CONTRIB_PREV_GRUPO;SM_CONTRIB_NORMAIS_GRUPO;SM_CONTRIB_EXTRA_GRUPO;SM_DEFICIT_EQUACIO_GRUPO;SM_SERVICO_PASSADO_GRUPO;SM_OUT_FINALIDADES_GRUPO;SM_UTILIZA_FUNDOS_GRUPO;SM_EXIGENCIA_REGUL_GRUPO;SM_DESTINA_RES_ESP_GRUPO;DT_INICIO_VIGENCIA;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL;VL_CONTRIB_NORMAIS_ASSIST;TX_TOT_PERC_CONTRIB_PART;TX_PERC_NORMAIS_PART;TX_TOT_PERC_EXTRA_PART;TX_DEFICIT_EQUACIO_PART;TX_PERC_SER_PAS_PART;TX_PERC_OUT_FINALID_PART;TX_TOT_PERC_CONTRIB_ASSIS;TX_PERC_NORMAIS_ASSIST;TX_TOT_PERC_EXTRA_ASSIST;TX_DEFICIT_EQUACIO_ASSIST;TX_PERC_SER_PAS_ASSIST;TX_PERC_OUT_FINALID_ASSIS;TX_TOT_PERC_CONTRIB_PATRO;TX_PERC_NORMAIS_PATRO;TX_TOT_PERC_EXTRA_PATRO;TX_DEFICIT_EQUACIO_PATRO;TX_PERC_SER_PAS_PATRO;TX_PERC_OUT_FINALID_PATRO
1997001683;3360909;1;42971;173582.64;173582.64;173582.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;260374.32;260374.32;260374.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;433956.96;433956.96;433956.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360909;0.00;5.98;5.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.96;8.96;0.00;0.00;0.00;0.00
2003001247;3360914;1;42973;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9665899.27;9665899.27;0.00;9665899.27;9665899.27;0.00;0.00;0.00;0.00;0.00;9665899.27;9665899.27;0.00;9665899.27;9665899.27;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360914;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1503.91;1503.91;0.00;0.00
2003000119;3360917;1;42975;966085.25;966085.25;966085.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34262821.38;34262821.38;21460488.92;12802332.46;12802332.46;0.00;0.00;0.00;0.00;0.00;35228906.63;35228906.63;22426574.17;12802332.46;12802332.46;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360917;0.00;0.59;0.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.08;13.08;7.80;7.80;0.00;0.00
2004003138;3360922;1;42977;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360922;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2004001518;3360927;1;42980;733037.88;733037.88;733037.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;255352.44;255352.44;255352.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;988390.32;988390.32;988390.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360927;0.00;14.10;14.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.60;4.60;0.00;0.00;0.00;0.00
2005004456;3360932;1;42982;826029.24;826029.24;826029.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;413013.96;413013.96;413013.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1239043.20;1239043.20;1239043.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360932;0.00;6.26;6.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.13;3.13;0.00;0.00;0.00;0.00
2005001392;3360935;1;42984;462990.06;462990.06;462990.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;552003.79;552003.79;552003.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1014993.85;1014993.85;1014993.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360935;0.00;1.62;1.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.95;1.95;0.00;0.00;0.00;0.00
2005004065;3360940;1;42988;958316.02;958316.02;958316.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1419750.63;1419750.63;1419750.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2378066.65;2378066.65;2378066.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360940;0.00;5.32;5.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.19;9.19;0.00;0.00;0.00;0.00
1983000329;3360945;1;42990;669590.02;669590.02;669590.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;563137.90;563137.90;563137.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1232727.92;1232727.92;1232727.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360945;0.00;3.96;3.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.33;3.33;0.00;0.00;0.00;0.00
1987001419;3360948;1;42992;1004435.51;1004435.51;1004435.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;928717.72;928717.72;928717.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1933153.23;1933153.23;1933153.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360948;0.00;6.06;6.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.60;5.60;0.00;0.00;0.00;0.00
1987000838;3360953;1;42994;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1139338.58;1139338.58;0.00;1139338.58;1139338.58;0.00;0.00;0.00;0.00;0.00;1139338.58;1139338.58;0.00;1139338.58;1139338.58;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360953;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40.27;40.27;0.00;0.00
1997001111;3360958;1;42997;3489800.00;3489800.00;3489800.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7078175.00;7078175.00;7078175.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10567975.00;10567975.00;10567975.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360958;0.00;4.07;4.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.23;8.23;0.00;0.00;0.00;0.00
2007002711;3360961;1;42999;97984.68;97984.68;97984.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97984.68;97984.68;97984.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;195969.36;195969.36;195969.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360961;0.00;6.36;6.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.36;6.36;0.00;0.00;0.00;0.00
2010001729;3360965;1;43001;750993.84;750993.84;750993.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;768148.43;469453.89;469453.89;0.00;0.00;0.00;0.00;298694.54;298694.54;0.00;1519142.27;1220447.73;1220447.73;0.00;0.00;0.00;0.00;298694.54;298694.54;0.00;NULL;NULL;3360965;0.00;4.53;4.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.83;2.83;0.00;0.00;0.00;0.00
2010003829;3360967;1;43003;672821.11;672821.11;672821.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1207178.61;1207178.61;1207178.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1879999.72;1879999.72;1879999.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360967;0.00;2.84;2.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.09;5.09;0.00;0.00;0.00;0.00
2010004965;3360972;1;43005;514007.56;514007.56;514007.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;414536.24;414536.24;414536.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;928543.80;928543.80;928543.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360972;0.00;2.86;2.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.30;2.30;0.00;0.00;0.00;0.00
2011000238;3360976;1;43007;33336.12;33336.12;33336.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;39419.26;39419.26;39419.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;72755.38;72755.38;72755.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360976;0.00;1.92;1.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.27;2.27;0.00;0.00;0.00;0.00
2011001129;3360979;1;43009;2728526.40;2728526.40;2728526.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2933554.40;2933554.40;2933554.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5662080.80;5662080.80;5662080.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360979;0.00;2.38;2.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.56;2.56;0.00;0.00;0.00;0.00
2020000938;3360995;1;43011;835301.04;835301.04;835301.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;745086.24;745086.24;745086.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1580387.28;1580387.28;1580387.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3360995;0.00;6.51;6.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.81;5.81;0.00;0.00;0.00;0.00
