NU_CNPB_PLANO_DA;ID;ORIGEM;ID_FONTE_RECURSO;SM_TOTAL_RECURSOS_PART;SM_CONTRIB_PREV_PART;VL_CONTRIB_NORMAIS_PART;SM_CONTRIB_EXTRA_PART;VL_DEFICIT_EQUACIO_PART;VL_SERVICO_PASSADO_PART;VL_OUT_FINALIDADES_PART;SM_UTILIZA_FUNDOS_PART;VL_EXIGENCIA_REGUL_PART;VL_DESTINA_RES_ESP_PART;SM_TOTAL_RECURSOS_ASSIST;SM_CONTRIB_PREV_ASSIST;SM_CONTRIB_EXTRA_ASSIST;VL_DEFICIT_EQUACIO_ASSIST;VL_SERVICO_PASSADO_ASSIST;VL_OUT_FINALIDADES_ASSIST;SM_UTILIZA_FUNDOS_ASSIST;VL_EXIGENCIA_REGUL_ASSIST;VL_DESTINA_RES_ESP_ASSIST;SM_TOTAL_RECURSOS_PATRO;SM_CONTRIB_PREV_PATRO;VL_CONTRIB_NORMAIS_PATRO;SM_CONTRIB_EXTRA_PATRO;VL_DEFICIT_EQUACIO_PATRO;VL_SERVICO_PASSADO_PATRO;VL_OUT_FINALIDADES_PATRO;SM_UTILIZA_FUNDOS_PATRO;VL_EXIGENCIA_REGUL_PATRO;VL_DESTINA_RES_ESP_PATRO;SM_TOTAL_RECURSOS_GRUPO;SM_CONTRIB_PREV_GRUPO;SM_CONTRIB_NORMAIS_GRUPO;SM_CONTRIB_EXTRA_GRUPO;SM_DEFICIT_EQUACIO_GRUPO;SM_SERVICO_PASSADO_GRUPO;SM_OUT_FINALIDADES_GRUPO;SM_UTILIZA_FUNDOS_GRUPO;SM_EXIGENCIA_REGUL_GRUPO;SM_DESTINA_RES_ESP_GRUPO;DT_INICIO_VIGENCIA;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL;VL_CONTRIB_NORMAIS_ASSIST;TX_TOT_PERC_CONTRIB_PART;TX_PERC_NORMAIS_PART;TX_TOT_PERC_EXTRA_PART;TX_DEFICIT_EQUACIO_PART;TX_PERC_SER_PAS_PART;TX_PERC_OUT_FINALID_PART;TX_TOT_PERC_CONTRIB_ASSIS;TX_PERC_NORMAIS_ASSIST;TX_TOT_PERC_EXTRA_ASSIST;TX_DEFICIT_EQUACIO_ASSIST;TX_PERC_SER_PAS_ASSIST;TX_PERC_OUT_FINALID_ASSIS;TX_TOT_PERC_CONTRIB_PATRO;TX_PERC_NORMAIS_PATRO;TX_TOT_PERC_EXTRA_PATRO;TX_DEFICIT_EQUACIO_PATRO;TX_PERC_SER_PAS_PATRO;TX_PERC_OUT_FINALID_PATRO
2005000892;2601637;1;38773;2273938.03;2273938.03;2273938.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206761.88;206761.88;206761.88;0;0;0;0;0;0;0;2480699.91;2480699.91;2480699.91;0;0;0;0;0;0;0;;;2601637;0;4.48;4.48;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0
2006004247;2601648;1;38775;1831295.04;1831295.04;1831295.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1831295.04;1831295.04;1831295.04;0;0;0;0;0;0;0;;;2601648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012001629;2601657;1;38777;1177578.48;1177578.48;1177578.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1177578.48;1177578.48;1177578.48;0;0;0;0;0;0;0;;;2601657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012001874;2601664;1;38779;2819540.04;2819540.04;2819540.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2819540.04;2819540.04;2819540.04;0;0;0;0;0;0;0;;;2601664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015001883;2614974;1;38784;471249.12;471249.12;471249.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471249.12;471249.12;471249.12;0;0;0;0;0;0;0;;;2614974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1980001138;2615041;1;38787;256187.85;256187.85;256187.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109794.79;109794.79;109794.79;0;0;0;0;0;0;0;365982.64;365982.64;365982.64;0;0;0;0;0;0;0;;;2615041;0;0.87;0.87;0;0;0;0;0;0;0;0;0;0;0.37;0.37;0;0;0;0
1981000518;2642297;1;38793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2642297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010004711;2647912;1;38795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;626111.59;626111.59;0;626111.59;626111.59;0;0;0;0;0;626111.59;626111.59;0;626111.59;626111.59;0;0;0;0;0;;;2647912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.09;25.09;0;0
2016000465;2648156;1;38800;4428504.99;4428504.99;4428504.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5043276.81;5043276.81;5043276.81;0;0;0;0;0;0;0;9471781.8;9471781.8;9471781.8;0;0;0;0;0;0;0;;;2648156;0;20.3;20.3;0;0;0;0;0;0;0;0;0;0;21.95;21.95;0;0;0;0
1981000747;2648217;1;38802;0;0;0;0;0;0;0;0;0;0;65341.48;65341.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65341.48;65341.48;65341.48;0;0;0;0;0;0;0;;;2648217;65341.48;0;0;0;0;0;0;6.5;6.5;0;0;0;0;0;0;0;0;0;0
2000008038;2648220;1;38804;3130268.84;3130268.84;3130268.84;0;0;0;0;0;0;0;274271.56;274271.56;274271.56;274271.56;0;0;0;0;0;2708072.67;2708072.67;2708072.67;0;0;0;0;0;0;0;6112613.07;6112613.07;5838341.51;274271.56;274271.56;0;0;0;0;0;;;2648220;0;6.52;6.52;0;0;0;0;0;0;1.74;1.74;0;0;5.64;5.64;0;0;0;0
2008004783;2648224;1;38806;0;0;0;0;0;0;0;0;0;0;5381266.67;5381266.67;5381266.67;5381266.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5381266.67;5381266.67;0;5381266.67;5381266.67;0;0;0;0;0;;;2648224;0;0;0;0;0;0;0;0;0;20.17;20.17;0;0;0;0;0;0;0;0
2016000619;2648209;1;38808;5642626.05;5642626.05;5642626.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5072114.03;5072114.03;5072114.03;0;0;0;0;0;0;0;10714740.08;10714740.08;10714740.08;0;0;0;0;0;0;0;;;2648209;0;6.33;6.33;0;0;0;0;0;0;0;0;0;0;5.69;5.69;0;0;0;0
1979003718;2649999;1;38812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2649999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007003856;2651423;1;38814;239094.72;239094.72;239094.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222049.92;222049.92;222049.92;0;0;0;0;0;0;0;461144.64;461144.64;461144.64;0;0;0;0;0;0;0;;;2651423;0;5.85;5.85;0;0;0;0;0;0;0;0;0;0;5.42;5.42;0;0;0;0
2013000847;2651623;1;38818;19224716.44;19224716.44;19224716.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17821452.48;17821452.48;17821452.48;0;0;0;0;0;0;0;37046168.92;37046168.92;37046168.92;0;0;0;0;0;0;0;;;2651623;0;6.85;6.85;0;0;0;0;0;0;0;0;0;0;6.35;6.35;0;0;0;0
1974000192;2652576;1;38820;35959289.28;35959289.28;35959289.28;0;0;0;0;0;0;0;1988384.88;0;0;0;0;0;1988384.88;0;1988384.88;32509890.28;28684693.8;28684693.8;0;0;0;0;3825196.48;0;3825196.48;70457564.44;64643983.08;64643983.08;0;0;0;0;5813581.36;0;5813581.36;;;2652576;0;5.04;5.04;0;0;0;0;0;0;0;0;0;0;4.02;4.02;0;0;0;0
1981001018;2652836;1;38822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2652836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017001392;2652842;1;38824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2652842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1983000418;2653028;1;38826;8429.61;8429.61;8429.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1008743.26;1008743.26;1008743.26;0;0;0;0;0;0;0;1017172.87;1017172.87;1017172.87;0;0;0;0;0;0;0;;;2653028;0;0.03;0.03;0;0;0;0;0;0;0;0;0;0;3.59;3.59;0;0;0;0
1984001019;2653030;1;38828;13148.28;13148.28;13148.28;0;0;0;0;0;0;0;109007.43;109007.43;0;0;0;0;0;0;0;117422.05;117422.05;117422.05;0;0;0;0;0;0;0;239577.76;239577.76;239577.76;0;0;0;0;0;0;0;;;2653030;109007.43;0.11;0.11;0;0;0;0;0.09;0.09;0;0;0;0;0.16;0.16;0;0;0;0
1993003411;2653077;1;38847;28640748.67;28640748.67;28640748.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43667294.94;43667294.94;43667294.94;0;0;0;0;0;0;0;72308043.61;72308043.61;72308043.61;0;0;0;0;0;0;0;;;2653077;0;46.78;46.78;0;0;0;0;0;0;0;0;0;0;62.51;62.51;0;0;0;0
1999005147;2653404;1;38849;1239257.14;1239257.14;114892.8;1124364.34;77223.27;1047141.07;0;0;0;0;11642956.63;11642956.63;11301148.31;11301148.31;0;0;0;0;0;114892.8;114892.8;114892.8;0;0;0;0;0;0;0;12997106.57;12997106.57;571593.92;12425512.65;11378371.58;1047141.07;0;0;0;0;;;2653404;341808.32;6.11;6.11;1.67;0.12;1.55;0;3.04;3.04;4.18;4.18;0;0;6.11;6.11;0;0;0;0
1997001829;2653408;1;38851;93718.68;93718.68;93718.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40818.48;40818.48;40818.48;0;0;0;0;0;0;0;134537.16;134537.16;134537.16;0;0;0;0;0;0;0;;;2653408;0;1.71;1.71;0;0;0;0;0;0;0;0;0;0;0.75;0.75;0;0;0;0
1980001774;2653412;1;38858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17331525.34;17331525.34;15586873.34;1744652;1744652;0;0;0;0;0;17331525.34;17331525.34;15586873.34;1744652;1744652;0;0;0;0;0;;;2653412;0;0;0;0;0;0;0;0;0;0;0;0;0;21.77;21.77;0.5;0.5;0;0
