NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QTD_PART_ATIVOS;VR_FOLHA_SAL;QTD_GRUPOS
14;3365935;1992000174;1022;145179041.15;1
14;3366944;2008001083;2147;0.00;1
14;3366987;1980000883;29;3535447.11;1
31;3336926;1988003156;3310;321249993.22;4
45;3335803;1999002474;673;54738895.25;1
59;3355057;1982000783;11;951772.90;1
59;3358974;2012000819;196;0.00;1
59;3487585;1982001811;0;0.00;1
59;3488882;2000008119;5929;696554133.08;8
81;3356380;2017000256;768;75042705.01;1
81;3356491;1998001229;1143;154355670.17;1
93;3335771;1996002856;1257;226549273.44;1
93;3335783;1979002592;1;0.00;1
93;3335787;1996002929;1593;204775535.52;1
93;3338686;2006007556;1;0.00;1
93;3342727;2015001719;0;0.00;1
93;3342731;2015001638;0;0.00;1
93;3342735;2015001565;0;0.00;1
93;3347910;1987000129;91;3729394.76;4
93;3347914;1994000619;190;17170519.34;4
93;3347918;2000002374;0;0.00;1
93;3348226;2000002692;357;31681264.29;5
93;3355296;2005003956;175;17001902.04;1
117;3347865;1979004765;115;4056971.10;1
117;3348819;2009001338;5102;515816790.45;5
117;3348822;2013002165;322;41551843.71;1
117;3349718;2018002147;103;17471123.02;5
117;3434145;2013002238;2608;434153031.78;5
121;3356189;1986000265;32;3194765.86;1
121;3356503;1998003711;165;15557122.62;1
134;3334188;1986000818;4803;771503742.62;1
151;3333528;1980000956;369;40131186.12;1
151;3336730;1996004174;8656;947120120.16;1
165;3309070;1979001911;6;482255.00;1
182;3368914;1967000174;1022;328057.40;1
182;3371179;2010001419;5851;1166527817.12;1
196;3380581;1999004183;39;3694783.08;1
206;3332394;2010005538;7628;788006973.00;1
206;3334180;1988000874;1394;165359967.00;1
211;3312911;2021000192;104;0.00;1
211;3312946;1996005138;3537;429133777.74;2
211;3312951;1996005219;0;105461047.56;1
211;3312954;1997002329;3862;0.00;1
223;3335747;2019003929;592;0.00;1
223;3335751;2002004838;592;187398197.30;1
223;3335795;1980000492;0;0.00;1
223;3335799;2011000874;38;9861248.70;1
237;3245774;2018000365;1159;0.00;1
237;3307339;2013000911;53;983456.37;1
237;3307988;2014000883;209;4457666.89;1
237;3307990;2009001192;451;5618795.47;1
237;3308045;1979000565;0;0.00;1
237;3308201;1982000856;0;0.00;1
237;3308360;1981000119;1;4579.03;1
237;3309068;1982000147;3;2035.75;1
237;3310441;1979000492;2262;30754018.36;1
237;3311463;2007002574;842;6721811282.00;1
237;3312482;2007003147;285;1667117.88;1
237;3312484;2005002283;356;3841424.74;1
237;3312938;2007000792;4227;65762929.67;1
237;3312942;2007001047;25;347906.99;1
237;3314960;2005002356;1253;14819091.63;1
237;3316013;2007000865;77;1026565.72;1
237;3316019;2007002647;1245;9287737.48;1
237;3316021;2007003392;440;2977262.32;1
241;3355226;1979003947;18;2907237.45;1
241;3355231;2010003683;643;106784207.00;1
254;3334114;2020003147;151;15371447.52;1
254;3334456;1987000447;2300;138841033.50;1
268;3339257;1979003874;3090;308884108.23;1
271;3341136;2008002111;27;3954808.65;1
271;3341208;1983000256;63;3878853.62;1
285;3356172;1979001774;1041;1512988.00;1
285;3356174;1998005283;7580;941013551.00;1
285;3356177;2006000756;10939;2045119418.46;1
299;3308047;1981000518;4558;17983496.46;1
309;3336494;1979003629;240;62025097.80;1
309;3336496;2011000165;94;18962312.85;1
309;3337354;2019001519;41;0.00;1
309;3337360;2019001683;3;0.00;1
312;3337958;1978000383;662;139296209.91;1
312;3337960;1978000219;1029;257082467.72;1
312;3337962;2006003429;6642;998067519.80;1
312;3339251;1978000138;2006;1698441.55;1
326;3332743;1979002118;9;1599574.71;1
326;3334448;2009002938;327;66702873.77;1
326;3334450;2006001574;842;190921123.77;1
326;3334452;2000005683;1133;246471405.31;1
357;3374259;2006006811;388;42705414.05;1
357;3388588;2020000611;12;597128.39;1
357;3394779;1993000429;4;680032.99;1
361;3349736;2001002165;2582;572239760.04;1
361;3361090;1980002029;2;332909.20;1
361;3411921;2001002238;108;0.00;1
388;3332765;1985001438;211;21829837.71;1
391;3332197;2019000156;66;10741865.94;1
391;3333433;2020001519;134;0.00;1
