NU_CNPB_PLANO_DA;ID;ORIGEM;ID_RESULTADO_PLANO;VL_RESULTADO_EXERCICIO;VL_DEFICIT_TECNICO;VL_SUPERAVIT_TECNICO;VL_RESERVA_CONTINGENCIA;VL_RESERVA_ESPECIAL;ID_DEMONSTRACAO_ATUARIAL
2018000365;3245774;1;23638;0.00;0.00;0.00;0.00;0.00;3245774
1979000174;3296254;1;23642;17939586.86;17939586.86;0.00;0.00;0.00;3296254
1971000256;3306552;1;23644;60518196.81;60518196.81;0.00;0.00;0.00;3306552
2013000911;3307339;1;23645;0.00;0.00;0.00;0.00;0.00;3307339
2004001992;3307787;1;23647;-1564249.74;0.00;0.00;0.00;0.00;3307787
2005000183;3307795;1;23648;0.00;0.00;0.00;0.00;0.00;3307795
2014000883;3307988;1;23649;90153.64;0.00;90153.64;90153.64;0.00;3307988
2009001192;3307990;1;23650;292467.98;0.00;292467.98;292467.98;0.00;3307990
1979000565;3308045;1;23651;-9483280.35;161210647.26;0.00;0.00;0.00;3308045
1981000518;3308047;1;23652;30289943.95;0.00;110938427.22;110351478.83;586948.39;3308047
1982000856;3308201;1;23653;-3318987.88;1155212.50;0.00;0.00;0.00;3308201
1981000119;3308360;1;23654;-3975342.86;13190707.15;0.00;0.00;0.00;3308360
1998006565;3309066;1;23655;0.00;0.00;0.00;0.00;0.00;3309066
1982000147;3309068;1;23656;-3620239.69;5664334.63;0.00;0.00;0.00;3309068
1979001911;3309070;1;23657;12540153.80;0.00;21440694.16;21440694.16;0.00;3309070
1985000792;3309407;1;23658;84253610.71;4729183.70;0.00;0.00;0.00;3309407
2010004711;3309713;1;23659;1205953.63;299963.22;0.00;0.00;0.00;3309713
1988002729;3309810;1;23660;20392312.31;0.00;20392312.31;15645529.43;4746782.88;3309810
1979000492;3310441;1;23661;55865305.91;0.00;241558203.36;241558203.36;0.00;3310441
1974000583;3311067;1;23663;105278946.06;0.00;105278946.06;79649710.09;25629235.97;3311067
2019001829;3311146;1;23664;0.00;0.00;0.00;0.00;0.00;3311146
1988000629;3311459;1;23666;4063676.36;59406244.68;0.00;0.00;0.00;3311459
1997000611;3311461;1;23667;885848.53;0.00;3113010.62;3113010.62;0.00;3311461
2007002574;3311463;1;23668;13605109.30;0.00;25256446.85;25256446.85;0.00;3311463
1981000747;3311547;1;23669;1430619.01;0.00;1430619.01;1430619.01;0.00;3311547
1996003747;3311553;1;23672;12715720.06;0.00;104330587.55;104330587.55;0.00;3311553
1999000919;3311555;1;23673;17397.92;0.00;87249.80;9879.31;77370.27;3311555
1999000838;3312073;1;23674;229179.78;0.00;552401.64;442201.73;110199.91;3312073
1993003411;3312082;1;23675;3711.96;0.00;24820.10;24820.10;0.00;3312082
2007003147;3312482;1;23676;5887407.64;0.00;23591429.75;18723059.87;4868369.88;3312482
2005002283;3312484;1;23677;5421344.85;46780621.80;0.00;0.00;0.00;3312484
1982001119;3312486;1;23678;168560072.34;478560741.68;0.00;0.00;0.00;3312486
1998002918;3312488;1;23679;198334.27;0.00;198334.27;198334.27;0.00;3312488
2006005383;3312490;1;23680;0.00;0.00;0.00;0.00;0.00;3312490
1983000418;3312492;1;23681;11693620.58;0.00;1147160.01;1147160.01;0.00;3312492
2009002865;3312494;1;23682;0.00;0.00;0.00;0.00;0.00;3312494
2009002611;3312719;1;23683;7749821.16;0.00;0.00;0.00;0.00;3312719
1990000347;3312723;1;23684;2199662.92;0.00;9534269.75;7839900.26;1694369.49;3312723
1990000592;3312727;1;23685;597829.54;0.00;597829.54;597829.54;0.00;3312727
1979000956;3312734;1;23686;136456178.64;0.00;109123486.72;109123486.72;0.00;3312734
1984001019;3312738;1;23687;125635616.06;0.00;510401094.16;364139388.39;146261705.77;3312738
2019002019;3312745;1;23688;0.00;0.00;0.00;0.00;0.00;3312745
2019002183;3312750;1;23689;941233.15;0.00;3332410.03;3332410.03;0.00;3312750
2007000792;3312938;1;23690;24364.66;0.00;24364.66;24364.66;0.00;3312938
2007001047;3312942;1;23691;1714424.20;0.00;377220.60;377220.60;0.00;3312942
1996005138;3312946;1;23692;204536636.84;208893554.54;0.00;0.00;0.00;3312946
1996005219;3312951;1;23693;-55484738.60;100294605.75;0.00;0.00;0.00;3312951
1997002329;3312954;1;23694;0.00;0.00;0.00;0.00;0.00;3312954
1998003647;3313810;1;23695;0.00;0.00;0.00;0.00;0.00;3313810
1974000192;3313819;1;23696;9368078.16;0.00;9368078.16;5340571.36;4027506.80;3313819
2005005274;3314309;1;23697;0.00;0.00;0.00;0.00;0.00;3314309
1981000283;3314314;1;23698;26398271.50;26398271.50;0.00;0.00;0.00;3314314
1980000719;3314713;1;23699;10583542.23;0.00;35073052.15;24151450.37;10921601.78;3314713
2005002356;3314960;1;23700;3860757.79;0.00;2401718.29;2401718.29;0.00;3314960
1981000992;3315082;1;23702;4509470.37;0.00;4509470.37;4509470.37;0.00;3315082
1994002883;3315084;1;23703;5286601.22;0.00;5286601.22;3225081.99;2061519.23;3315084
2013000847;3315187;1;23704;0.00;0.00;0.00;0.00;0.00;3315187
2017001392;3315189;1;23705;18488509.03;0.00;25549530.28;25549530.28;0.00;3315189
1985000229;3315742;1;23706;38983645.51;0.00;38983645.51;12228904.96;26754740.55;3315742
2007000865;3316013;1;23707;550652.16;218175.87;0.00;0.00;0.00;3316013
1998004929;3316015;1;23708;0.00;0.00;0.00;0.00;0.00;3316015
2009001583;3316017;1;23709;0.00;0.00;0.00;0.00;0.00;3316017
2007002647;3316019;1;23710;1461114.22;0.00;1461114.22;1461114.22;0.00;3316019
2007003392;3316021;1;23711;323665.20;1785850.04;0.00;0.00;0.00;3316021
1987001729;3316023;1;23712;4001439.01;0.00;3615071.90;3615071.90;0.00;3316023
1981001018;3316025;1;23713;5000764.85;0.00;12823135.78;12823135.78;0.00;3316025
2006000911;3316544;1;23714;892814.10;0.00;5243804.63;2639834.83;2603969.80;3316544
2008001229;3316713;1;23715;1461246.59;0.00;2276208.71;2276208.71;0.00;3316713
2006003747;3316717;1;23716;1076.06;0.00;1076.06;1076.06;0.00;3316717
2006003811;3316719;1;23717;199461.05;0.00;592822.75;592822.75;0.00;3316719
1997001918;3316735;1;23719;3796001.83;0.00;4507146.27;2097307.25;2409839.02;3316735
1994001674;3316739;1;23720;682183.14;20651893.98;0.00;0.00;0.00;3316739
1994000538;3316747;1;23722;8762725.09;0.00;48182207.65;25501680.17;22680527.48;3316747
1994000465;3316751;1;23723;8149585.60;0.00;36943765.06;20655203.15;16288561.91;3316751
1997002183;3317387;1;23725;1573886.24;1343032.54;0.00;0.00;0.00;3317387
1979003718;3317389;1;23726;17218730.87;0.00;54473072.45;29475327.47;24997744.98;3317389
1993003738;3317391;1;23727;1153344.89;0.00;7824531.05;7824531.05;0.00;3317391
2001001983;3317394;1;23728;52627.46;0.00;52627.46;52627.46;0.00;3317394
1974000419;3317631;1;23729;-75664803.60;75664803.60;0.00;0.00;0.00;3317631
1997003147;3317638;1;23730;-139250982.71;139250982.71;0.00;0.00;0.00;3317638
2002000719;3328297;1;23733;14874494.64;0.00;14874494.64;14874494.64;0.00;3328297
2005005811;3328563;1;23734;1443117.44;0.00;4022086.51;944111.25;3077975.26;3328563
1997001047;3328567;1;23735;11517994.81;0.00;44918276.37;17584345.06;27333931.31;3328567
2010003365;3328571;1;23736;3083615.75;0.00;233110871.62;126301481.06;106809390.56;3328571
1988002419;3328575;1;23737;-5412570.27;26148559.31;0.00;0.00;0.00;3328575
1988001218;3328867;1;23738;192628714.20;174636106.71;0.00;0.00;0.00;3328867
1994004118;3328873;1;23739;64282266.65;0.00;44959230.84;44959230.84;0.00;3328873
1988003229;3328875;1;23740;22555303.32;0.00;20783273.66;20783273.66;0.00;3328875
2005005111;3328879;1;23741;615497.71;0.00;1041668.73;537944.50;503724.23;3328879
2009002547;3328882;1;23742;2000000.00;0.00;2000000.00;2000000.00;0.00;3328882
2006003992;3328888;1;23743;-413715.87;12749995.75;0.00;0.00;0.00;3328888
1998003183;3329100;1;23744;5294435.43;0.00;13285198.35;13285198.35;0.00;3329100
1997004038;3329102;1;23745;9561.83;0.00;190191.88;190191.88;0.00;3329102
1979004056;3329106;1;23746;272222794.18;0.00;1822947833.67;1602362660.88;220585172.79;3329106
1980001529;3329108;1;23747;0.00;0.00;0.00;0.00;0.00;3329108
1998005674;3329114;1;23749;-179589.83;0.00;591892.76;591892.76;0.00;3329114
1990001947;3329122;1;23750;-7945847.74;7945847.74;0.00;0.00;0.00;3329122
1996002538;3329126;1;23751;0.00;0.00;0.00;0.00;0.00;3329126
1998004856;3329304;1;23753;1093472.29;5005982.47;0.00;0.00;0.00;3329304
2018000756;3329316;1;23754;709292.02;0.00;163745.11;163745.11;0.00;3329316
2001000847;3329590;1;23755;2223253.03;0.00;2223253.03;2223253.03;0.00;3329590
1998004783;3329699;1;23756;46996.58;295464.36;0.00;0.00;0.00;3329699
2000003656;3329703;1;23757;516715052.14;0.00;683640221.97;160634668.87;523005553.10;3329703
2000003974;3329707;1;23758;494015643.10;0.00;283026692.13;109028790.96;173997901.17;3329707
2008001619;3329711;1;23759;16485841.27;0.00;19497691.30;4813914.92;14683776.38;3329711
1999004256;3329717;1;23760;187922443.34;0.00;491077808.04;491077808.04;0.00;3329717
2000003729;3329721;1;23761;3133015.03;0.00;18933133.37;11156169.05;7776964.32;3329721
2002001065;3329725;1;23762;6802954.52;0.00;15260458.80;6258197.16;9002261.64;3329725
1994000929;3329729;1;23763;-9963205.53;8425687.18;0.00;0.00;0.00;3329729
1980001065;3329733;1;23764;29067203.98;102657439.65;0.00;0.00;0.00;3329733
