NU_CNPB_PLANO_DA;ID_PROVISAO_MATEMATICA;TX_PERC_CUSTO_ANO;VL_CUSTO_ANO;SM_PROVISAO_MATEMATICA;SM_BENEFICIOS_CONCEDIDOS;SM_BEN_CON_CONTRIBUI_DEF;VL_BC_CD_SALD_CONT_ASSIST;SM_BEN_CON_BENEFICIO_DEF;VL_BC_BD_PROG_VABF_ASSIST;VL_BC_BD_NPRO_VABF_ASSIST;SM_BENEFICIOS_A_CONCEDER;SM_BEN_A_CON_CONTRIB_DEF;VL_AC_CD_SALD_CONT_PATRO;VL_AC_CD_SALD_CONT_PART;SM_BEN_A_CON_BEN_DEF_PROG;VL_AC_BD_PROG_VABF;VL_AC_BD_PROG_VACF_PATRO;VL_AC_BD_PROG_VACF_PART;SM_BEN_A_CON_BEN_DEF_NPRO;VL_AC_BD_NPRO_VABF;VL_AC_BD_NPRO_VACF_PATRO;VL_AC_BD_NPRO_VACF_PART;VL_AC_BD_CAPT_COBERTURA;VL_AC_BD_REPT_SIMPLES;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL
2011002419;166670;NULL;NULL;11073085.61;365161.76;365161.76;365161.76;0.00;NULL;NULL;10707923.85;10707923.85;0.00;10707923.85;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3191815
2006004247;166672;NULL;NULL;42022728.81;5541773.07;5541773.07;5541773.07;0.00;NULL;NULL;36480955.74;36480955.74;2681112.64;33799843.10;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3191827
2012001629;166674;NULL;NULL;19453141.83;84022.18;84022.18;84022.18;0.00;NULL;NULL;19369119.65;19369119.65;794827.00;18574292.65;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3191831
2012001874;166676;NULL;NULL;73142694.75;12830264.69;12830264.69;12830264.69;0.00;NULL;NULL;60312430.06;60312430.06;176316.41;60136113.65;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3191835
2015001883;166678;NULL;NULL;7073008.03;0.00;0.00;0.00;0.00;NULL;NULL;7073008.03;7073008.03;123538.69;6949469.34;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3191841
2005000892;166680;NULL;NULL;46963551.25;3908401.34;3908401.34;3908401.34;0.00;NULL;NULL;43055149.91;43055149.91;2211318.04;40843831.87;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3192097
2018000365;166688;NULL;0.00;33957467.83;6894295.96;6894295.96;6894295.96;0.00;0.00;0.00;27063171.87;27063171.87;0.00;27063171.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3245774
1979000174;166725;NULL;0.00;1321789557.43;889372897.92;0.00;0.00;889372897.92;889372897.92;0.00;432416659.51;0.00;0.00;0.00;428894275.31;428894275.31;0.00;0.00;3522384.20;3522384.20;0.00;0.00;0.00;0.00;NULL;3296254
1971000256;166743;NULL;0.01;633489730.92;626236234.03;0.00;0.00;626236234.03;477564946.56;148671287.47;7253496.89;0.00;0.00;0.00;6020181.95;6020181.97;0.01;0.01;1233314.94;1233314.96;0.01;0.01;0.00;0.00;NULL;3306552
2013000911;166750;NULL;1889644.33;21841943.85;2198723.78;2198723.78;2198723.78;0.00;0.00;0.00;19643220.07;19643220.07;9273840.29;10369379.78;0.00;0.00;0.00;0.00;0.00;799238.00;399619.00;399619.00;0.00;0.00;NULL;3307339
2004001992;166775;NULL;2474228.61;774212872.33;463448893.33;459958659.88;459958659.88;3490233.45;3490233.45;0.00;310763979.00;305775330.53;221669254.68;84106075.85;4003771.77;4003771.77;0.00;0.00;984876.70;984876.70;0.00;0.00;0.00;0.00;NULL;3307787
2005000183;166784;NULL;15175483.16;190661289.68;16781792.62;16781792.62;16781792.62;0.00;0.00;0.00;173879497.06;155057543.21;70338710.06;84718833.15;15964238.48;22881252.82;6917014.34;0.00;2857715.37;4095911.46;1238196.09;0.00;0.00;0.00;NULL;3307795
2014000883;166790;NULL;8684670.33;80475521.96;2156478.00;0.00;0.00;2156478.00;0.00;2156478.00;78319043.96;78319043.96;38245879.24;40073164.72;0.00;0.00;0.00;0.00;0.00;4446192.00;2223096.00;2223096.00;0.00;0.00;NULL;3307988
2009001192;166800;NULL;9067757.46;78161232.05;2845835.00;0.00;0.00;2845835.00;2447171.00;398664.00;75315397.05;75315397.05;35344513.10;39970883.95;0.00;0.00;0.00;0.00;0.00;3590428.00;1795214.00;1795214.00;0.00;0.00;NULL;3307990
1979000565;166813;NULL;383973.55;27296234.00;27296234.00;0.00;0.00;27296234.00;12078575.00;15217659.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3308045
1981000518;166818;NULL;0.00;527695742.70;226443522.21;0.00;0.00;226443522.21;0.00;226443522.21;301252220.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;301252220.49;301252220.49;0.00;0.00;0.00;0.00;NULL;3308047
1982000856;166830;NULL;241438.52;23157395.00;23157395.00;0.00;0.00;23157395.00;15115215.00;8042180.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3308201
1981000119;166841;NULL;2175069.50;216790479.00;216666819.00;0.00;0.00;216666819.00;120910616.00;95756203.00;123660.00;0.00;0.00;0.00;119830.00;119830.00;0.00;0.00;3830.00;3830.00;0.00;0.00;0.00;0.00;NULL;3308360
2012001718;166844;NULL;NULL;72888280.31;17312154.52;17312154.52;17312154.52;0.00;NULL;NULL;55576125.79;55576125.79;24289740.50;31286385.29;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3309044
2014002118;166846;NULL;NULL;108789749.45;303696.31;303696.31;303696.31;0.00;NULL;NULL;108486053.14;108486053.14;49269337.24;59216715.90;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3309046
2017000183;166848;NULL;NULL;23975496.61;0.00;0.00;0.00;0.00;NULL;NULL;23975496.61;23975496.61;11298761.97;12676734.64;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3309048
2020001829;166850;NULL;NULL;2681724.62;0.00;0.00;0.00;0.00;NULL;NULL;2681724.62;2681724.62;0.00;2681724.62;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3309052
2021003574;166852;NULL;NULL;89764.30;0.00;0.00;0.00;0.00;NULL;NULL;89764.30;89764.30;20305.17;69459.13;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3309056
1998006565;166857;NULL;726363.72;19348982.40;10094622.29;10094622.29;10094622.29;0.00;0.00;0.00;9254360.11;9254360.11;3593003.32;5661356.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3309066
1982000147;166869;NULL;2358519.32;182318194.00;181945376.00;0.00;0.00;181945376.00;120470823.00;61474553.00;372818.00;0.00;0.00;0.00;351794.35;351794.35;0.00;0.00;21023.65;21023.65;0.00;0.00;0.00;0.00;NULL;3309068
1979001911;166880;NULL;1036099.57;569670099.00;568597157.00;0.00;0.00;568597157.00;505543295.00;63053862.00;1072942.00;0.00;0.00;0.00;1035191.16;1277329.00;121068.92;121068.92;37750.84;46581.00;4415.08;4415.08;0.00;0.00;NULL;3309070
2016000465;166894;NULL;NULL;311500712.21;73842743.64;73842743.64;73842743.64;0.00;NULL;NULL;237657968.57;237657968.57;117335676.26;120322292.31;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3309404
1985000792;166889;NULL;75788021.68;2950352905.02;2510839858.30;0.00;0.00;2510839858.30;2109378575.30;401461283.00;439513046.72;0.00;0.00;0.00;428465558.23;604179883.32;87840137.47;87874187.62;11047488.49;11501884.11;226907.85;227487.77;0.00;0.00;NULL;3309407
2010004711;166904;NULL;0.00;7852331.00;7852331.00;0.00;0.00;7852331.00;7083408.00;768923.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3309713
1988002729;166911;NULL;0.00;87502961.00;87502961.00;0.00;0.00;87502961.00;50314086.00;37188875.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3309810
2010002318;166914;NULL;NULL;1695018.05;0.00;0.00;0.00;0.00;NULL;NULL;1695018.05;1695018.05;560157.60;1134860.45;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3310012
1979000492;166925;NULL;85864151.58;6247701803.00;3425055429.00;0.00;0.00;3425055429.00;2775089177.00;649966252.00;2822646374.00;0.00;0.00;0.00;2791235733.00;2889020411.00;48892339.00;48892339.00;31410641.00;44547124.00;6568241.50;6568241.50;0.00;0.00;NULL;3310441
2010005392;166957;NULL;NULL;153426167.48;20649965.57;20649965.57;20649965.57;0.00;NULL;NULL;132776201.91;132776201.91;112000835.19;20775366.72;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3311065
1974000583;166954;NULL;0.00;415708299.00;415708299.00;0.00;0.00;415708299.00;287623178.00;128085121.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3311067
2019001829;166962;NULL;71714508.73;1062679375.21;404405185.52;404405185.52;404405185.52;0.00;0.00;0.00;658274189.69;658274189.69;304409133.09;353865056.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3311146
2019002329;166965;NULL;NULL;124304469.65;0.00;0.00;0.00;0.00;NULL;NULL;124304469.65;124304469.65;0.00;124304469.65;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3311179
1988000629;166978;NULL;0.00;837851308.74;832770975.87;0.00;0.00;832770975.87;705948951.97;126822023.90;5080332.87;3051305.98;3051305.98;0.00;2020814.96;2020814.96;0.00;0.00;8211.93;8211.93;0.00;0.00;0.00;0.00;NULL;3311459
1997000611;166983;NULL;38408498.73;1128700499.21;380788559.79;356514468.48;356514468.48;24274091.31;21002979.73;3271111.58;747911939.42;744724909.38;362717924.69;382006984.69;0.00;0.00;0.00;0.00;3187030.04;5282519.36;2095489.32;0.00;0.00;0.00;NULL;3311461
2007002574;166993;NULL;2669555.92;364224701.00;268644631.00;0.00;0.00;268644631.00;248827126.00;19817505.00;95580070.00;0.00;0.00;0.00;94277459.00;94277459.00;0.00;0.00;1302611.00;1302611.00;0.00;0.00;0.00;0.00;NULL;3311463
2011001765;166996;NULL;NULL;29218707.99;2301288.22;2301288.22;2301288.22;0.00;NULL;NULL;26917419.77;26917419.77;0.00;26917419.77;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3311532
1981000747;167000;NULL;138391.70;12954615.07;12954615.07;0.00;0.00;12954615.07;11542387.89;1412227.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3311547
1996003747;167026;NULL;110813599.44;2668550499.89;573504985.00;135598394.37;135598394.37;437906590.63;305313602.09;132592988.54;2095045514.89;2036286418.49;1081752270.89;954534147.60;0.00;0.00;0.00;0.00;58759096.40;94612242.41;32735065.87;3118080.14;0.00;0.00;NULL;3311553
1999000919;167034;NULL;255149915.54;4753104804.73;1081427775.01;1081345917.38;1081345917.38;81857.63;81857.63;0.00;3671677029.72;3671677029.72;1702090308.93;1969586720.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3311555
2005006311;167037;NULL;NULL;119341567.22;5903016.76;5903016.76;5903016.76;0.00;NULL;NULL;113438550.46;113438550.46;57253031.93;56185518.53;0.00;NULL;NULL;NULL;0.00;NULL;NULL;NULL;NULL;NULL;NULL;3312052
1999000838;167043;NULL;14572183.52;508681636.83;199690351.20;196970733.20;196970733.20;2719618.00;611756.00;2107862.00;308991285.63;308991285.63;115064161.32;193927124.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3312073
1993003411;167141;NULL;75030751.95;1999652224.91;393589916.65;384667467.66;384667467.66;8922448.99;6736053.76;2186395.23;1606062308.26;1605547757.75;785372215.23;820175542.52;502635.28;502635.28;0.00;0.00;11915.23;11915.23;0.00;0.00;0.00;0.00;NULL;3312082
2007003147;167166;NULL;381761.87;89119234.00;64141949.00;0.00;0.00;64141949.00;58098185.00;6043764.00;24977285.00;0.00;0.00;0.00;24806338.00;24806338.00;0.00;0.00;170947.00;170947.00;0.00;0.00;0.00;0.00;NULL;3312482
2005002283;167176;NULL;4682547.64;634582705.00;502169134.00;0.00;0.00;502169134.00;464508520.00;37660614.00;132413571.00;0.00;0.00;0.00;132251943.00;132251943.00;0.00;0.00;161628.00;161628.00;0.00;0.00;0.00;0.00;NULL;3312484
1982001119;167189;NULL;69687364.09;7694701653.13;7532613218.00;0.00;0.00;7532613218.00;6206207085.00;1326406133.00;162088435.13;0.00;0.00;0.00;160778577.66;162963678.12;1456734.96;728365.50;1309857.47;1332500.00;15095.03;7547.50;0.00;0.00;NULL;3312486
1998002918;167198;NULL;20992.84;4184168.32;3460169.03;0.00;0.00;3460169.03;3383244.03;76925.00;723999.29;716357.29;358178.64;358178.65;0.00;0.00;0.00;0.00;7642.00;8295.00;326.50;326.50;0.00;0.00;NULL;3312488
2006005383;167209;NULL;0.00;203999090.41;203723163.00;0.00;0.00;203723163.00;124156549.00;79566614.00;275927.41;0.00;0.00;0.00;275157.41;275157.41;0.00;0.00;770.00;770.00;0.00;0.00;0.00;0.00;NULL;3312490
1983000418;167217;NULL;838862.46;357235638.78;282351340.00;0.00;0.00;282351340.00;250621977.00;31729363.00;74884298.78;0.00;0.00;0.00;72422823.66;75839249.57;3391533.15;24892.76;2461475.12;2593538.00;131100.64;962.24;0.00;0.00;NULL;3312492
2009002865;167227;NULL;25061255.57;10577825627.77;5571138581.43;5571138581.43;5571138581.43;0.00;0.00;0.00;5006687046.34;5006687046.34;4684855882.60;321831163.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3312494
2009002611;167232;NULL;4762152.60;418842396.02;180857587.15;21967658.15;21967658.15;158889929.00;156649862.00;2240067.00;237984808.87;237984808.87;68614824.63;169369984.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;3312719
1990000347;167241;NULL;0.00;33035978.74;15184532.00;0.00;0.00;15184532.00;14965006.00;219526.00;17851446.74;0.00;0.00;0.00;17176110.74;17176110.74;0.00;0.00;675336.00;675336.00;0.00;0.00;0.00;0.00;NULL;3312723
1990000592;167249;NULL;122446.56;23697632.06;11193688.00;0.00;0.00;11193688.00;10369009.00;824679.00;12503944.06;12477690.06;3865405.10;8612284.96;0.00;0.00;0.00;0.00;26254.00;26254.00;0.00;0.00;0.00;0.00;NULL;3312727
1979000956;167258;NULL;23197037.05;3029735711.41;2655430542.00;0.00;0.00;2655430542.00;2108379511.00;547051031.00;374305169.41;0.00;0.00;0.00;370875709.95;375273880.00;2706566.18;1691603.87;3429459.46;3470129.00;25027.41;15642.13;0.00;0.00;NULL;3312734
1984001019;167273;NULL;200256.86;1785872429.56;1705097962.00;0.00;0.00;1705097962.00;1268892228.00;436205734.00;80774467.56;0.00;0.00;0.00;78635818.02;78661346.56;9860.23;15668.31;2138649.54;2139392.00;286.77;455.69;0.00;0.00;NULL;3312738
2019002019;167280;NULL;0.00;233264586.34;48917674.07;3737405.07;3737405.07;45180269.00;43964581.00;1215688.00;184346912.27;27726310.27;27726310.27;0.00;143858073.00;143858073.00;0.00;0.00;12762529.00;12762529.00;0.00;0.00;0.00;0.00;NULL;3312745
